run,proc,init_pkt,exec_time
1,1,100,424.025
1,2,100,282.311
1,4,100,273.355
1,8,100,211.26
1,16,100,250.271
1,32,100,162.213
1,64,100,159.29
1,1,10,424.142
1,2,10,313.694
1,4,10,277.589
1,8,10,199.749
1,16,10,194.529
1,32,10,184.832
1,64,10,164.072
1,1,1,424.311
1,2,1,370.233
1,4,1,339.908
1,8,1,211.824
1,16,1,191.078
1,32,1,187.883
1,64,1,162.317
1,1,25,423.983
1,2,25,328.422
1,4,25,248.884
1,8,25,236.74
1,16,25,228.368
1,32,25,163.695
1,64,25,165.322
1,1,2,424.011
1,2,2,377.166
1,4,2,275.985
1,8,2,194.299
1,16,2,183.406
1,32,2,169.061
1,64,2,160.057
1,1,50,423.964
1,2,50,294.756
1,4,50,223.617
1,8,50,172.797
1,16,50,195.212
1,32,50,163.416
1,64,50,159.732
2,1,100,423.927
2,2,100,282.432
2,4,100,273.989
2,8,100,248.904
2,16,100,167.605
2,32,100,168.148
2,64,100,160.85
2,1,10,423.939
2,2,10,313.756
2,4,10,250.787
2,8,10,171.791
2,16,10,178.913
2,32,10,168.501
2,64,10,162.229
2,1,1,424.009
2,2,1,372.007
2,4,1,346.495
2,8,1,282.706
2,16,1,201.111
2,32,1,179.206
2,64,1,166.211
2,1,25,423.902
2,2,25,328.07
2,4,25,262.745
2,8,25,289.656
2,16,25,174.083
2,32,25,166.964
2,64,25,165.876
2,1,2,423.846
2,2,2,365.738
2,4,2,275.422
2,8,2,224.924
2,16,2,185.879
2,32,2,220.98
2,64,2,164.697
2,1,50,424.368
2,2,50,294.921
2,4,50,222.654
2,8,50,174.167
2,16,50,195.193
2,32,50,168.161
2,64,50,158.409
3,1,100,424.034
3,2,100,282.479
3,4,100,273.517
3,8,100,271.64
3,16,100,250.084
3,32,100,167.989
3,64,100,160.806
3,1,10,424.477
3,2,10,313.572
3,4,10,250.725
3,8,10,178.656
3,16,10,195.887
3,32,10,278.532
3,64,10,158.457
3,1,1,426.178
3,2,1,367.854
3,4,1,326.703
3,8,1,235.601
3,16,1,201.338
3,32,1,211.906
3,64,1,164.948
3,1,25,424.287
3,2,25,329.139
3,4,25,252.216
3,8,25,237.91
3,16,25,169.837
3,32,25,169.188
3,64,25,178.107
3,1,2,423.996
3,2,2,365.585
3,4,2,265.295
3,8,2,183.764
3,16,2,270.243
3,32,2,168.152
3,64,2,166.052
3,1,50,424.167
3,2,50,294.83
3,4,50,224.576
3,8,50,173.425
3,16,50,195.069
3,32,50,162.872
3,64,50,158.88
4,1,100,426.188
4,2,100,283.346
4,4,100,273.383
4,8,100,249.815
4,16,100,249.98
4,32,100,161.999
4,64,100,161.084
4,1,10,426.191
4,2,10,315.084
4,4,10,248.236
4,8,10,166.977
4,16,10,191.786
4,32,10,182.251
4,64,10,160.432
4,1,1,442.857
4,2,1,367.899
4,4,1,284.505
4,8,1,321.407
4,16,1,196.066
4,32,1,173.018
4,64,1,170.596
4,1,25,426.347
4,2,25,330.033
4,4,25,270.81
4,8,25,274.26
4,16,25,174.213
4,32,25,163.069
4,64,25,161.83
4,1,2,426.138
4,2,2,367.348
4,4,2,253.896
4,8,2,191.99
4,16,2,274.576
4,32,2,173.714
4,64,2,167.992
4,1,50,426.079
4,2,50,296.423
4,4,50,222.339
4,8,50,166.02
4,16,50,195.221
4,32,50,163.221
4,64,50,158.397
5,1,100,423.932
5,2,100,283.28
5,4,100,273.427
5,8,100,212.9
5,16,100,249.967
5,32,100,162.451
5,64,100,158.97
5,1,10,426.117
5,2,10,315.054
5,4,10,250.215
5,8,10,175.244
5,16,10,195.99
5,32,10,164.329
5,64,10,160.845
5,1,1,426.167
5,2,1,371.539
5,4,1,248.345
5,8,1,309.614
5,16,1,199.889
5,32,1,174.292
5,64,1,164.512
5,1,25,423.982
5,2,25,329.839
5,4,25,248.892
5,8,25,219.075
5,16,25,178.64
5,32,25,166.28
5,64,25,159.73
5,1,2,426.435
5,2,2,367.481
5,4,2,280.102
5,8,2,238.906
5,16,2,183.771
5,32,2,261.692
5,64,2,182.235
5,1,50,424.111
5,2,50,296.326
5,4,50,222.261
5,8,50,177.902
5,16,50,195.815
5,32,50,168.274
5,64,50,164.407
